#Name    ,type,RA2000,Dec2000,Flux
0023-263,radec J2000,00:25:49.15625  ,-26:02:12.6168   ,J2000   9Jy
0106+013,radec J2000,01:08:38.771    , 01:35:00.317    ,J2000
3C48    ,radec J2000,01:37:41.299431 , 33:09:35.132990 ,J2000  15Jy
0237-233,radec J2000,02:40:08.174510 ,-23:09:15.730850 ,J2000   7Jy
0252-712,radec J2000,02:52:46.157    ,-71:04:35.28     ,J2000   5Jy
CTA21   ,radec J2000,03:18:57.802658 , 16:28:32.698500 ,J2000   7Jy
0407-658,radec J2000,04:08:20.380    ,-65:45:09.08     ,J2000  15Jy
3C123   ,radec J2000,04:37:04.3750   , 29:40:13.820    ,J2000  45Jy
3C133   ,radec J2000,05:02:58.5826   , 25:16:24.242    ,J2000   5Jy
3C138   ,radec J2000,05:21:09.886021 , 16:38:22.051220 ,J2000   8Jy
0521-365,radec J2000,05:22:57.984651 ,-36:27:30.850920 ,J2000  18Jy
0531+194,radec J2000,05:34:44.5183   , 19:27:21.378    ,J2000   6Jy
3C161   ,radec J2000,06:27:10.0960   ,-05:53:04.768    ,J2000  16Jy
0741-063,radec J2000,07:44:21.6605   ,-06:29:35.888    ,J2000   8Jy
0823-500,radec J2000,08:25:26.869    ,-50:10:38.49     ,J2000   6Jy
3C237   ,radec J2000,10:08:00.0160   , 07:30:16.552    ,J2000   6Jy	
1127-145,radec J2000,11:30:07.0525   ,-14:49:27.388    ,J2000   6Jy
1148-001,radec J2000,11:50:43.870761 ,-00:23:54.204900 ,J2000   3Jy
1151-348,radec J2000,11:54:21.78718  ,-35:05:29.0763   ,J2000   6Jy
3C273   ,radec J2000,12:29:06.699729 , 02:03:08.598190 ,J2000  39Jy
VirgoA  ,radec J2000,12:30:49.423381 , 12:23:28.043930 ,J2000 214Jy
3C279   ,radec J2000,12:56:11.166560 ,-05:47:21.524580 ,J2000  10Jy
3C283   ,radec J2000,13:11:39.3347   ,-22:16:41.748    ,J2000   5Jy
3C287   ,radec J2000,13:30:37.6892   , 25:09:10.978    ,J2000   6Jy      
3C286   ,radec J2000,13:31:08.287984 , 30:30:32.958850 ,J2000  15Jy
1345+125,radec J2000,13:47:33.361645 , 12:17:24.238900 ,J2000   5Jy
3C298   ,radec J2000,14:19:08.180173 , 06:28:34.803490 ,J2000   5Jy
1421-490,radec J2000,14:24:32.28     ,-49:13:49.30     ,J2000   8Jy
1549-790,radec J2000,15:56:58.871    ,-79:14:04.28     ,J2000   6Jy
3C345   ,radec J2000,16:42:58.809951 , 39:48:36.993950 ,J2000   6Jy
1717-358,radec J2000,17:20:21.8042   ,-35:52:47.708    ,J2000  20Jy
NRAO530 ,radec J2000,17:33:02.705790 ,-13:04:49.548230 ,J2000   5Jy
1740-517,radec J2000,17:44:25.450619 ,-51:44:43.79199  ,J2000   7Jy
1742-289,radec J2000,17:45:40.0383   ,-29:00:28.069    ,J2000  65Jy
1814-637,radec J2000,18:19:35.002381 ,-63:45:48.18906  ,J2000  14Jy
1819-096,radec J2000,18:22:28.7042   ,-09:38:56.835    ,J2000   5Jy
1827-360,radec J2000,18:30:58.8829   ,-36:02:30.132    ,J2000   7Jy
1830-210,radec J2000,18:33:39.9150   ,-21:03:40.050    ,J2000  12Jy
3C391   ,radec J2000,18:49:22.40     ,-00:55:21.00     ,J2000
OV-236  ,radec J2000,19:24:51.055957 ,-29:14:30.121150 ,J2000   9Jy 
1934-638,radec J2000,19:39:25.026    ,-63:42:45.63     ,J2000  16Jy
1938-155,radec J2000,19:41:15.0289   ,-15:24:31.309    ,J2000   6Jy
2032-350,radec J2000,20:35:47.8091   ,-34:54:08.925    ,J2000   6Jy
2050+364,radec J2000,20:52:52.054995 , 36:35:35.300210 ,J2000   5Jy
2134+00 ,radec J2000,21:36:38.586    , 00:41:54.21     ,J2000   3Jy
2203-188,radec J2000,22:06:10.417082 ,-18:35:38.746520 ,J2000   6Jy
3C446   ,radec J2000,22:25:47.259291 ,-04:57:01.390730 ,J2000   6Jy
CTA102  ,radec J2000,22:32:36.408914 , 11:43:50.904100 ,J2000   6Jy
3C454.3 ,radec J2000,22:53:57.747932 , 16:08:53.560890 ,J2000  14Jy
