#Name, type, RA2000, Dec2000
J0025-2602,radec bpcal, 00:25:49.17, -26:02:12.7
0106+013  ,radec bpcal, 01:08:38.771, 01:35:00.317
3C48      ,radec bpcal, 01:37:41.299431, 33:09:35.132990
J0240-2309,radec bpcal, 02:40:08.174568, -23:09:15.7305450
J0252-712 ,radec bpcal, 02:52:46.157, -71:04:35.28
CTA21     ,radec bpcal, 03:18:57.80, 16:28:32
J0408-6545,radec bpcal, 04:08:20.380186, -65:45:09.0784890
3C123     ,radec bpcal, 04:37:04.3750, 29:40:13.820
3C133     ,radec bpcal, 05:02:58.5826, 25:16:24.242
3C138     ,radec bpcal, 05:21:09.90, +16:38:22.051
0521-365  ,radec bpcal, 05:22:57.984651, -36:27:30.850920
0531+194  ,radec bpcal, 05:34:44.5183, 19:27:21.378
3C161     ,radec bpcal, 06:27:10.1, -05:53:04.77
J0744-0629,radec bpcal, 07:44:21.66, -06:29:35.9
B0823-500 ,radec bpcal, 08:25:26.869, -50:10:38.49
3C237     ,radec bpcal, 10:08:00.0160, 07:30:16.552
1127-145  ,radec bpcal, 11:30:07.0525, -14:49:27.388
1148-001  ,radec bpcal, 11:50:43.870761, -00:23:54.20490
3C273     ,radec bpcal, 12:29:06.699729, 02:03:08.598190
3C279     ,radec bpcal, 12:56:11.166560, -05:47:21.524580
3C283     ,radec bpcal, 13:11:39.3347, -22:16:41.748
3C287     ,radec bpcal, 13:30:37.6892,  25:09:10.978 
3C286     ,radec bpcal, 13:31:08.287984, 30:30:32.958850
1345+125  ,radec bpcal, 13:47:33.361645, 12:17:24.238900
3C298     ,radec bpcal, 14:19:08.180173, 06:28:34.803490
J1424-4913,radec bpcal, 14:24:32.28877, -49:13:50.0425
1549-790  ,radec bpcal, 15:56:58.87,-79:14:04.3
CTD93     ,radec bpcal, 16:09:13.320853, 26:41:29.0378000
3C345     ,radec bpcal, 16:42:58.809951, 39:48:36.993950
NRAO530   ,radec bpcal, 17:33:02.705790, -13:04:49.548230
1742-289  ,radec bpcal, 17:45:40.0383, -29:00:28.069
1814-637  ,radec bpcal, 18:19:35.00,  -63:45:48.2
1819-096  ,radec bpcal, 18:22:28.7042, -09:38:56.835
J1830-3602,radec bpcal, 18:30:57, -36:02:28
1830-210  ,radec bpcal, 18:33:39.9150, -21:03:40.050
OV-236    ,radec bpcal, 19:24:51.055957, -29:14:30.121150
1934-638  ,radec bpcal, 19:39:25.03, -63:42:45.63
1938-155  ,radec bpcal, 19:41:15.0289, -15:24:31.309
2032-350  ,radec bpcal, 20:35:47.8091, -34:54:08.925
2050+364  ,radec bpcal, 20:52:52.054995, 36:35:35.300210
2134+004  ,radec bpcal, 21:36:38.586, 00:41:54.21
2203-188  ,radec bpcal, 22:06:10.417082, -18:35:38.746520
3C446     ,radec bpcal, 22:25:47.259291, -04:57:01.390730
CTA102    ,radec bpcal, 22:32:36.408914, 11:43:50.904100
3C454.3   ,radec bpcal, 22:53:57.747932, 16:08:53.560890
