0134+329,3C48    ,01:37:41.299410, 33:09:35.12877 
0212+735,        ,02:17:30.813200, 73:49:32.61574 
0237-233,        ,02:40:08.174573,-23:09:15.73861 
0316+162,CTA21   ,03:18:57.800   , 16:28:32.71    
0316+413,3C84    ,03:19:48.159885, 41:30:42.09718 
0333+321,NRAO140 ,03:36:30.107381, 32:18:29.33677 
0518+165,3C138   ,05:21:09.885818, 16:38:22.04723 
0538+498,3C147   ,05:42:36.137483, 49:51:07.23062  
0552+398,DA193   ,05:55:30.805191, 39:48:49.16175 
0831+557,DA241   ,08:34:54.903282, 55:34:21.07176 
0851+202,OJ287   ,08:54:48.874641, 20:06:30.64229 
1127-145,        ,11:30:07.052515,-14:49:27.38269 
1226+023,3C273B  ,12:29:06.699588, 02:03:08.60455  
1328+307,3C286   ,13:31:08.288046, 30:30:32.96696 
1404+286,OQ208   ,14:07:00.394267, 28:27:14.69634 
1458+718,3C309.1 ,14:59:07.583972, 71:40:19.87393 
1502+106,        ,15:04:24.979659, 10:29:39.20496 
1607+268,CTD93   ,16:09:13.320806, 26:41:29.04350 
1634+628,3C343   ,16:34:33.799   , 62:45:35.88    
1641+399,3C345   ,16:42:58.810032, 39:48:36.99912 
1730-130,NRAO530 ,17:33:02.705569,-13:04:49.54344 
1828+487,3C380   ,18:29:31.72483 , 48:44:46.9515  
1928+738,4C+73.18,19:27:48.496465, 73:58:01.57135  
2005+403,        ,20:07:44.946122, 40:29:48.61182 
2021+614,OW637   ,20:22:06.682293, 61:36:58.80505 
2200+420,BLLAC   ,22:02:43.291585, 42:16:39.97734 
2037+511,3C418   ,20:38:37.035135, 51:19:12.66217 
2134+004,2134+00 ,21:36:38.586194, 00:41:54.21213 
2230+114,CTA102  ,22:32:36.408832, 11:43:50.90103 
2251+158,3C454.3 ,22:53:57.747897, 16:08:53.55732 

