J0108+1320 | *3C33 | PKS 0106+130, radec, 01:08:53.2, +13:20:24. , , , , 
J0609+2029 | *NRAO229 | PKS 0606+204, radec, 06:09:35.6, +20:29:18., , , ,
J0744-0629 | *PKS 0741-063 , radec, 07:44:21.6605, -06:29:35.888, , , ,
J1424-4913 | *PKS 1421-490, radec, 14:24:32.24, -49:13:49.3, , , ,
J1602+0157 | *3C327 | PKS 1559+021, radec, 16:02:27.4, +01:57:55., , , ,
J1634-4735 | *CTB33 | PKS 1630-474, radec, 16:34:36.4, -47:35:56., , , ,
J1720-3552 | *PKS 1717-358, radec, 17:20:21.8042, -35:52:47.708, , , ,
J1830-3602 | *PKS 1827-360, radec, 18:30:58.8829, -36:02:30.132, , , ,
J1833-2103 | *PKS 1830-210, radec, 18:33:39.9150, -21:03:40.050 , , , ,
J1849-0055 | *3C391 | PKS 1846-009, radec, 18:49:22.40, -00:55:21.00, , , ,
J1935-4620 | *PKS 1932-464 , radec, 19:35:56.5, -46:20:39., , , ,
J2214-1701 | *3C444 | PKS 2211-172, radec, 22:14:25.6, -17:01:34., , , ,
